,pitchIndex,actionIndex,runnerIndex,runners,playEvents,credits,flags,homeTeamWinProbability,awayTeamWinProbability,homeTeamWinProbabilityAdded,playEndTime,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,result.isOut,about.atBatIndex,about.halfInning,about.isTopInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls,count.strikes,count.outs,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.batterHotColdZones,matchup.pitcherHotColdZones,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,leverageIndex,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,trajectory,hardness,location,coordinates.coordX,coordinates.coordY,reviewDetails.isOverturned,reviewDetails.inProgress,reviewDetails.reviewType,reviewDetails.challengeTeamId
0,"3,4,5,6,7,8,9,10,11,12","0,1,2",0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,52.2,47.8,2.200000000000003,2024-10-11T23:42:35.892Z,0,atBat,Ponche,strikeout,"Carlos D.   Rodriguez se poncha tirándole, receptor Israel Pineda a primera base Carlos Rivero.",0,0,0,true,0,top,true,1,2024-10-11T23:38:44.258Z,2024-10-11T23:42:35.892Z,true,false,false,true,14,2,3,1,677578,Carlos D. Rodriguez,/api/v1/people/677578,L,Left,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_LHB,Empty,,,,,,,,,,,,,,,,,,,
1,"0,1",,0,[object Object],"[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,53.7,46.3,1.5,2024-10-11T23:43:55.997Z,1,atBat,Línea de Out,field_out,Peter O'Brien batea línea de out a jardinero izquierdo Hedbert Perez.,0,0,0,true,1,top,true,1,2024-10-11T23:42:53.550Z,2024-10-11T23:43:55.997Z,true,false,false,true,0,0,1,2,598284,Peter O'Brien,/api/v1/people/598284,R,Right,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_RHB,Empty,0.62,,,,,,,,,,line_drive,medium,7,84.1,115.94,,,,
2,"0,1,2,3",,0,[object Object],"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,54.7,45.3,1,2024-10-11T23:45:31.572Z,2,atBat,Elevado de Out,field_out,Keon Barnum batea elevado de out a jardinero central Luis Matos.,0,0,0,true,2,top,true,1,2024-10-11T23:43:57.619Z,2024-10-11T23:45:31.572Z,true,false,false,true,0,1,2,3,621572,Keon Barnum,/api/v1/people/621572,L,Left,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_LHB,Empty,0.4,,,,,,,,,,fly_ball,medium,8,125.86,92.34,,,,
3,"0,1,2,3",,0,[object Object],"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,52.6,47.4,-2.1000000000000014,2024-10-11T23:48:48.168Z,3,atBat,Elevado de Out,field_out,Luis Matos batea elevado de out a jardinero central Carlos D.   Rodriguez.,0,0,0,true,3,bottom,false,1,2024-10-11T23:45:34.964Z,2024-10-11T23:48:48.168Z,true,false,false,true,0,2,1,1,682641,Luis Matos,/api/v1/people/682641,R,Right,448855,Junior Guerra,/api/v1/people/448855,R,Right,,,vs_RHP,vs_RHB,Empty,0.87,,,,,,,,,,fly_ball,medium,8,127.67,89.92,,,,
4,"0,1,2",,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,51,49,-1.6000000000000014,2024-10-11T23:50:19.284Z,4,atBat,Elevado de Out,field_out,Alcides Escobar batea elevado de out a segunda base José Peraza.,0,0,0,true,4,bottom,false,1,2024-10-11T23:48:49.935Z,2024-10-11T23:50:19.284Z,true,false,false,true,0,1,1,2,444876,Alcides Escobar,/api/v1/people/444876,R,Right,448855,Junior Guerra,/api/v1/people/448855,R,Right,,,vs_RHP,vs_RHB,Empty,0.62,,,,,,,,,,fly_ball,medium,4,154.9,116.55,,,,
5,"0,1,2",,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,50,50,-1,2024-10-11T23:52:04.622Z,5,atBat,Ponche,strikeout,Leonys Martin se poncha tirándole.,0,0,0,true,5,bottom,false,1,2024-10-11T23:50:21.016Z,2024-10-11T23:52:04.622Z,true,false,false,true,14,0,3,3,547982,Leonys Martin,/api/v1/people/547982,L,Left,448855,Junior Guerra,/api/v1/people/448855,R,Right,,,vs_RHP,vs_LHB,Empty,0.4,,,,,,,,,,,,,,,,,,
6,"0,1,2,3",,0,[object Object],"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,39.2,60.8,-10.799999999999997,2024-10-11T23:55:26.194Z,6,atBat,Jonrón,home_run,Renato Núñez batea jonrón (1) con elevado entre los jardines izquierdo y central.,1,1,0,false,6,top,true,2,2024-10-11T23:54:39.577Z,2024-10-11T23:55:26.194Z,true,true,false,false,65,1,2,0,600524,Renato Núñez,/api/v1/people/600524,R,Right,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_RHB,Empty,0.93,,,,,,,,,,fly_ball,medium,78,57.48,39.09,,,,
7,0,,0,[object Object],[object Object],"[object Object],[object Object],[object Object],[object Object]",,41.199999999999996,58.800000000000004,1.999999999999993,2024-10-11T23:56:19.078Z,7,atBat,Roletazo de Out,field_out,"Alberth Martinez batea rodado de out, campo corto Alcides Escobar a primera base Carlos Rivero.",0,1,0,true,7,top,true,2,2024-10-11T23:55:27.916Z,2024-10-11T23:56:19.078Z,true,false,false,true,0,0,0,1,594021,Alberth Martinez,/api/v1/people/594021,R,Right,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_RHB,Empty,0.82,,,,,,,,,,ground_ball,medium,6,107.7,152.85,,,,
8,"0,1,2,3",,0,[object Object],"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,42.699999999999996,57.300000000000004,1.5,2024-10-11T23:57:41.018Z,8,atBat,Elevado de Out,field_out,Manuel Boscan batea elevado de out a jardinero izquierdo Hedbert Perez.,0,1,0,true,8,top,true,2,2024-10-11T23:56:21.248Z,2024-10-11T23:57:41.018Z,true,false,false,true,0,1,2,2,598724,Manuel Boscan,/api/v1/people/598724,L,Left,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_LHB,Empty,0.59,,,,,,,,,,fly_ball,medium,7,89.55,102.63,,,,
9,"0,1",,0,[object Object],"[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,43.7,56.3,1.000000000000007,2024-10-11T23:58:41.468Z,9,atBat,Roletazo de Out,field_out,"José Peraza batea rodado de out, segunda base César Hernández a primera base Carlos Rivero.",0,1,0,true,9,top,true,2,2024-10-11T23:57:43.426Z,2024-10-11T23:58:41.468Z,true,false,false,true,0,0,1,3,606299,José Peraza,/api/v1/people/606299,R,Right,673603,Luis Romero,/api/v1/people/673603,R,Right,,,vs_RHP,vs_RHB,Empty,0.39,,,,,,,,,,ground_ball,medium,4,147.04,155.28,,,,
