player.id,season,numTeams,rank,team.allStarStatus,team.id,team.name,team.link,team.season,team.venue.id,team.venue.name,team.venue.link,team.teamCode,team.fileCode,team.abbreviation,team.teamName,team.locationName,team.firstYearOfPlay,team.league.id,team.league.name,team.league.link,team.sport.id,team.sport.link,team.sport.name,team.shortName,team.parentOrgName,team.parentOrgId,team.franchiseName,team.clubName,team.active,player.fullName,player.link,player.firstName,player.lastName,player.birthDate,player.currentAge,player.birthCity,player.birthCountry,player.active,player.primaryPosition.code,player.primaryPosition.name,player.primaryPosition.type,player.primaryPosition.abbreviation,player.useName,player.useLastName,player.middleName,player.boxscoreName,player.gender,player.nameMatrilineal,player.isPlayer,player.isVerified,player.batSide.code,player.batSide.description,player.pitchHand.code,player.pitchHand.description,player.nameFirstLast,player.nameSlug,player.firstLastName,player.lastFirstName,player.lastInitName,player.initLastName,player.fullFMLName,player.fullLFMName,league.id,league.name,league.link,sport.id,sport.link,sport.abbreviation,position.code,position.name,position.type,position.abbreviation,player.height,player.weight,player.strikeZoneTop,player.strikeZoneBottom,player.nickName,player.primaryNumber,player.mlbDebutDate,player.birthStateProvince,player.draftYear,player.pronunciation,player.lastPlayedDate,player.nameTitle,player.nameSuffix
667686,2023,1,47,N,696,Navegantes del Magallanes,/api/v1/teams/696,2023,2510,Estadio Jose Bernardo Perez,/api/v1/venues/2510,mag,t696,MAG,Navegantes,Valencia,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Magallanes,Office of the Commissioner,11,Navegantes,Magallanes,true,Angel Acevedo,/api/v1/people/667686,Angel,Acevedo,1998-09-19,26,Calabozo,Venezuela,true,1,Pitcher,Pitcher,P,Angel,Acevedo,Paul,Acevedo,M,Oropeza,true,false,R,Right,R,Right,Angel Acevedo,angel-acevedo-667686,Angel Acevedo,"Acevedo, Angel","Acevedo, A",A Acevedo,Angel Paul Acevedo,"Acevedo, Angel Paul",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 1""",205,3.411,1.565,,91,,,,,,,
672755,2023,2,155,N,692,Aguilas del Zulia,/api/v1/teams/692,2023,3031,Estadio Luis Aparicio,/api/v1/venues/3031,zul,t692,ZUL,Aguilas,Maracaibo,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Zulia,Office of the Commissioner,11,Aguilas,Zulia,true,Aldry Acosta,/api/v1/people/672755,Aldry,Acosta,1999-09-07,25,Caracas,Venezuela,true,1,Pitcher,Pitcher,P,Aldry,Acosta,Gabriel,Acosta,M,Ramirez,true,true,R,Right,R,Right,Aldry Acosta,aldry-acosta-672755,Aldry Acosta,"Acosta, Aldry","Acosta, A",A Acosta,Aldry Gabriel Acosta,"Acosta, Aldry Gabriel",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 4""",235,3.549,1.627,,92,,,,,,,
666673,2023,1,196,N,697,Bravos de Margarita,/api/v1/teams/697,2023,5490,Estadio Forum de La Guaira,/api/v1/venues/5490,mar,t697,MAR,Bravos,Macuto,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Margarita,Office of the Commissioner,11,Bravos,Margarita,true,Melvi Acosta,/api/v1/people/666673,Melvi,Acosta,1995-06-02,29,Guiria,Venezuela,true,1,Pitcher,Pitcher,P,Melvi,Acosta,Jose,"Acosta, M",M,Lopez,true,false,R,Right,R,Right,Melvi Acosta,melvi-acosta-666673,Melvi Acosta,"Acosta, Melvi","Acosta, M",M Acosta,Melvi Jose Acosta,"Acosta, Melvi Jose",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 1""",215,3.411,1.565,,22,,,,,,,
665981,2023,1,158,N,692,Aguilas del Zulia,/api/v1/teams/692,2023,3031,Estadio Luis Aparicio,/api/v1/venues/3031,zul,t692,ZUL,Aguilas,Maracaibo,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Zulia,Office of the Commissioner,11,Aguilas,Zulia,true,Abel Adames,/api/v1/people/665981,Abel,Adames,1995-12-08,28,Fantino,Dominican Republic,true,1,Pitcher,Pitcher,P,Abel,Adames,,Adames,M,Quezada,true,false,R,Right,R,Right,Abel Adames,abel-adames-665981,Abel Adames,"Adames, Abel","Adames, A",A Adames,Abel Adames,"Adames, Abel",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 5""",190,3.575,1.681,,,,,,,,,
595798,2023,1,21,N,695,Leones del Caracas,/api/v1/teams/695,2023,6015,Monumental Simon Bolivar,/api/v1/venues/6015,leo,t695,CAR,Leones,Caracas,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Caracas,Office of the Commissioner,11,Leones,Caracas,true,R.J. Alaniz,/api/v1/people/595798,Ruben,Alaniz,1991-06-14,33,McAllen,USA,true,1,Pitcher,Pitcher,P,R.J.,Alaniz,,Alaniz,M,,true,true,R,Right,R,Right,R.J. Alaniz,r-j-alaniz-595798,R.J. Alaniz,"Alaniz, R.J.","Alaniz, R",R Alaniz,R.J. Alaniz,"Alaniz, R.J.",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 4""",220,3.549,1.627,,52,2019-04-12,TX,,ah-lah-NIECE,,,
685721,2023,1,235,N,697,Bravos de Margarita,/api/v1/teams/697,2023,5490,Estadio Forum de La Guaira,/api/v1/venues/5490,mar,t697,MAR,Bravos,Macuto,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Margarita,Office of the Commissioner,11,Bravos,Margarita,true,Luis Alcala,/api/v1/people/685721,Luis,Alcala,2000-11-07,23,Guiria,Venezuela,true,1,Pitcher,Pitcher,P,Luis,Alcala,Saul,Alcala,M,Gonzalez,true,true,R,Right,R,Right,Luis Alcala,luis-alcala-685721,Luis Alcala,"Alcala, Luis","Alcala, L",L Alcala,Luis Saul Alcala,"Alcala, Luis Saul",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 1""",158,3.411,1.565,,,,,,,,,
820906,2023,1,1,N,696,Navegantes del Magallanes,/api/v1/teams/696,2023,2510,Estadio Jose Bernardo Perez,/api/v1/venues/2510,mag,t696,MAG,Navegantes,Valencia,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Magallanes,Office of the Commissioner,11,Navegantes,Magallanes,true,Reynaldo Alvarez,/api/v1/people/820906,Reynaldo,Alvarez,2001-07-16,23,Havana,Cuba,false,1,Pitcher,Pitcher,P,Reynaldo,Alvarez,Ariel,Alvarez,M,Dominguez,false,false,R,Right,R,Right,Reynaldo Alvarez,reynaldo-alvarez-820906,Reynaldo Alvarez,"Alvarez, Reynaldo","Alvarez, R",R Alvarez,Reynaldo Ariel Alvarez,"Alvarez, Reynaldo Ariel",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,,,,,,,,,,,,,
506693,2023,1,111,N,696,Navegantes del Magallanes,/api/v1/teams/696,2023,2510,Estadio Jose Bernardo Perez,/api/v1/venues/2510,mag,t696,MAG,Navegantes,Valencia,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Magallanes,Office of the Commissioner,11,Navegantes,Magallanes,true,Henderson Alvarez III,/api/v1/people/506693,Henderson,Alvarez,1990-04-18,34,Valencia,Venezuela,true,1,Pitcher,Pitcher,P,Henderson,Alvarez,Javier,"Alvarez III, H",M,,true,true,R,Right,R,Right,Henderson Alvarez III,henderson-alvarez-iii-506693,Henderson Alvarez III,"Alvarez III, Henderson","Alvarez, H",H Alvarez,Henderson Javier Alvarez III,"Alvarez III, Henderson Javier",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 0""",205,3.371,1.535,,43,2011-08-10,,,,,III,III
661156,2023,1,202,N,694,Caribes de Anzoategui,/api/v1/teams/694,2023,3030,Estadio Alfonso Carrasquel,/api/v1/venues/3030,ori,t694,ORI,Caribes,Puerto La Cruz,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Caribes,Office of the Commissioner,11,Caribes,Caribes,true,Luis Amaya,/api/v1/people/661156,Luis,Amaya,1998-08-26,26,Punto Fijo,Venezuela,true,1,Pitcher,Pitcher,P,Luis,Amaya,Anthony,Amaya,M,Diaz,true,true,L,Left,L,Left,Luis Amaya,luis-amaya-661156,Luis Amaya,"Amaya, Luis","Amaya, L",L Amaya,Luis Anthony Amaya,"Amaya, Luis Anthony",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"5' 11""",160,3.319,1.513,,89,,,,,,,
681730,2023,1,246,N,697,Bravos de Margarita,/api/v1/teams/697,2023,5490,Estadio Forum de La Guaira,/api/v1/venues/5490,mar,t697,MAR,Bravos,Macuto,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Margarita,Office of the Commissioner,11,Bravos,Margarita,true,Luis Amoroso,/api/v1/people/681730,Luis,Amoroso,1999-12-12,24,Valencia,Venezuela,true,1,Pitcher,Pitcher,P,Luis,Amoroso,Fernando,Amoroso,M,Colina,true,false,R,Right,R,Right,Luis Amoroso,luis-amoroso-681730,Luis Amoroso,"Amoroso, Luis","Amoroso, L",L Amoroso,Luis Fernando Amoroso,"Amoroso, Luis Fernando",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 1""",192,3.411,1.565,,,,,,,,,
674287,2023,1,166,N,694,Caribes de Anzoategui,/api/v1/teams/694,2023,3030,Estadio Alfonso Carrasquel,/api/v1/venues/3030,ori,t694,ORI,Caribes,Puerto La Cruz,2004,135,Liga Venezuela Beisbol Profesional,/api/v1/league/135,17,/api/v1/sports/17,Winter Leagues,Caribes,Office of the Commissioner,11,Caribes,Caribes,true,Frainger Aranguren,/api/v1/people/674287,Frainger,Aranguren,1997-03-17,27,Caracas,VEN,true,1,Pitcher,Pitcher,P,Frainger,Aranguren,Javier,Aranguren,M,Ontiveros,true,false,R,Right,R,Right,Frainger Aranguren,frainger-aranguren-674287,Frainger Aranguren,"Aranguren, Frainger","Aranguren, F",F Aranguren,Frainger Javier Aranguren,"Aranguren, Frainger Javier",135,LVBP,/api/v1/league/135,17,/api/v1/sports/17,WIN,1,Pitcher,Pitcher,P,"6' 2""",190,3.467,1.589,,,,,,,,,
