,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
3,448855,696,2024,1,1,0,0,0,0,6,0,0,2,0,19,59,6.0,1,0,0,0,0,0,0,19,18,1,0,0,39,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,1,27,9,13,12,4,1,0,6,0,0,1,1,MAG,,0.00,0.33,.110,9.83,9.00,0.00,inf,0.00,31.6,0.0,31.6,7,1,1,4,.150,100.0,1.13,1.16,1.61,0,339,330,273,1.75,7.7,53.8,30.8,7.7,0.00,20,18,66.1,33.9,33.3,15.3,20.3
24,454974,692,2024,1,0,0,1,0,0,0,0,0,2,0,3,10,0.2,0,0,0,0,0,0,0,3,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,3,0,0,0,0,1,1,0,1,0,ZUL,,0.00,3.00,.670,15.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,1,0,1,1,.670,100.0,3.13,3.21,6.14,0,122,119,71,1.00,33.3,33.3,33.3,0.0,0.00,5,4,50.0,50.0,0.0,0.0,10.0
16,466463,698,2024,1,0,0,0,0,0,1,0,0,1,0,4,12,1.0,0,0,0,0,1,0,0,4,3,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,2,3,0,0,0,0,2,0,0,1,0,LAG,,0.00,1.00,.250,12.00,9.00,0.00,inf,0.00,25.0,0.0,25.0,2,0,1,0,.330,100.0,1.13,1.13,1.05,0,339,339,418,inf,33.3,66.7,0.0,0.0,nan,5,3,58.3,41.7,40.0,16.7,16.7
2,500610,696,2024,1,0,0,0,0,0,1,0,0,1,0,4,20,1.0,0,0,0,0,0,0,0,4,3,1,0,0,12,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,8,1,3,0,1,0,0,1,0,0,0,1,MAG,,0.00,1.00,.250,20.00,9.00,0.00,inf,0.00,25.0,0.0,25.0,2,0,0,1,.330,100.0,1.13,1.18,2.13,0,339,325,206,2.00,0.0,66.7,33.3,0.0,0.00,8,7,60.0,40.0,12.5,5.0,20.0
38,504083,695,2024,1,0,0,0,0,0,0,0,0,1,0,4,12,1.0,0,0,0,0,1,0,0,4,3,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,4,3,2,0,0,1,0,0,0,1,CAR,,0.00,1.00,.250,12.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,2,0,0,2,.250,100.0,3.13,3.23,6.14,0,122,119,71,1.00,0.0,50.0,50.0,0.0,0.00,5,5,58.3,41.7,16.7,8.3,8.3
42,517448,695,2024,1,0,3,1,0,0,0,1,0,2,0,4,22,0.2,0,0,0,0,0,0,3,5,2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,10,0,4,0,0,1,0,1,0,0,1,1,CAR,,40.50,4.50,.500,33.00,0.00,13.50,0.00,0.00,0.0,20.0,-20.0,2,1,1,0,.500,0.0,7.63,7.63,7.59,9,50,50,58,inf,25.0,50.0,0.0,25.0,nan,8,10,63.6,36.4,0.0,0.0,18.2
18,542587,698,2024,1,1,1,1,0,0,4,2,0,4,0,11,51,3.1,0,0,0,0,0,0,1,13,10,1,0,0,30,0,0,1,0,0,0,0,0,0,3,1,2,0,1,2,0,1,1,20,9,7,2,0,0,0,3,0,0,2,2,LAG,,2.70,1.80,.360,15.30,10.80,5.40,2.00,0.00,30.8,15.4,15.4,5,0,2,0,.570,83.3,2.53,2.53,2.59,142,151,151,169,inf,28.6,71.4,0.0,0.0,nan,21,11,58.8,41.2,45.0,17.6,19.6
51,546276,693,2024,1,0,0,0,0,0,2,1,0,1,0,4,19,1.0,0,0,1,1,0,0,0,5,3,1,0,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,2,0,1,0,0,0,0,0,1,0,LAR,,0.00,2.00,.250,19.00,18.00,9.00,2.00,0.00,40.0,20.0,20.0,0,0,1,1,.500,100.0,2.13,2.18,2.90,0,180,176,151,0.00,50.0,0.0,50.0,0.0,0.00,8,4,57.9,42.1,33.3,10.5,26.3
7,553878,696,2024,1,0,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,MAG,,0.00,0.00,.000,3.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,1,0,0,0,.000,nan,3.13,3.13,-2.38,0,122,122,-184,inf,0.0,100.0,0.0,0.0,nan,0,1,100.0,0.0,0.0,0.0,0.0
25,570145,692,2024,1,0,0,0,0,0,0,0,0,0,0,1,3,0.1,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,ZUL,,0.00,0.00,.000,9.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,0,0,0,1,.000,nan,3.13,3.28,14.67,0,122,117,30,0.00,0.0,0.0,100.0,0.0,0.00,0,1,100.0,0.0,50.0,33.3,33.3
